State,County ,Year,Population Estimate
California,California,2019,39512223
California,Alameda County,2019,1671329
California,Alpine County,2019,1129
California,Amador County,2019,39752
California,Butte County,2019,219186
California,Calaveras County,2019,45905
California,Colusa County,2019,21547
California,Contra Costa County,2019,1153526
California,Del Norte County,2019,27812
California,El Dorado County,2019,192843
California,Fresno County,2019,999101
California,Glenn County,2019,28393
California,Humboldt County,2019,135558
California,Imperial County,2019,181215
California,Inyo County,2019,18039
California,Kern County,2019,900202
California,Kings County,2019,152940
California,Lake County,2019,64386
California,Lassen County,2019,30573
California,Los Angeles County,2019,10039107
California,Madera County,2019,157327
California,Marin County,2019,258826
California,Mariposa County,2019,17203
California,Mendocino County,2019,86749
California,Merced County,2019,277680
California,Modoc County,2019,8841
California,Mono County,2019,14444
California,Monterey County,2019,434061
California,Napa County,2019,137744
California,Nevada County,2019,99755
California,Orange County,2019,3175692
California,Placer County,2019,398329
California,Plumas County,2019,18807
California,Riverside County,2019,2470546
California,Sacramento County,2019,1552058
California,San Benito County,2019,62808
California,San Bernardino County,2019,2180085
California,San Diego County,2019,3338330
California,San Francisco County,2019,881549
California,San Joaquin County,2019,762148
California,San Luis Obispo County,2019,283111
California,San Mateo County,2019,766573
California,Santa Barbara County,2019,446499
California,Santa Clara County,2019,1927852
California,Santa Cruz County,2019,273213
California,Shasta County,2019,180080
California,Sierra County,2019,3005
California,Siskiyou County,2019,43539
California,Solano County,2019,447643
California,Sonoma County,2019,494336
California,Stanislaus County,2019,550660
California,Sutter County,2019,96971
California,Tehama County,2019,65084
California,Trinity County,2019,12285
California,Tulare County,2019,466195
California,Tuolumne County,2019,54478
California,Ventura County,2019,846006
California,Yolo County,2019,220500
California,Yuba County,2019,78668
